,0
279,https://ournewenglandlegends.com/podcast-5-the-ufo-abduction-of-barney-and-betty-hill/
280,https://ournewenglandlegends.com/podcast-222-gov-wentworths-missing-treasure/
281,https://ournewenglandlegends.com/podcast-226-the-wreck-of-the-cursed-isidore/
282,https://ournewenglandlegends.com/podcast-195-nerve-tonic-that-launched-a-war/
283,https://ournewenglandlegends.com/podcast-32-the-hayden-family-curse/
284,https://ournewenglandlegends.com/podcast-49-hartford-new-englands-first-witch-execution/
285,https://ournewenglandlegends.com/podcast-121-the-boon-island-cannibals/
286,https://ournewenglandlegends.com/podcast-37-an-island-three-times-cursed/
287,https://ournewenglandlegends.com/podcast-208-a-tombstone-every-mile-in-the-haunted-haynesville-woods/
288,https://ournewenglandlegends.com/podcast-91-maines-missing-governor/
289,https://ournewenglandlegends.com/podcast-109-portlands-one-legged-ghost/
290,https://ournewenglandlegends.com/podcast-185-the-deerfield-booms/
291,https://ournewenglandlegends.com/podcast-235-the-great-wall-of-sandwich/
292,https://ournewenglandlegends.com/podcast-157-the-secrets-of-vampire-house/
293,https://ournewenglandlegends.com/podcast-146-the-lordship-mermaid/
294,https://ournewenglandlegends.com/podcast-99-english-jack-the-hermit-of-the-white-mountains/
295,https://ournewenglandlegends.com/podcast-40-it-gave-me-the-willeys/
296,https://ournewenglandlegends.com/podcast-58-montpeliers-black-agnes-cursed-grave/
297,https://ournewenglandlegends.com/podcast-210-the-lake-winnipesaukee-mystery-stone/
298,https://ournewenglandlegends.com/podcast-117-a-sermon-from-beer-bottle-church/
299,https://ournewenglandlegends.com/podcast-115-trick-or-treating-at-the-conjuring-house/
300,https://ournewenglandlegends.com/podcast-43-new-havens-ghost-ship/
301,https://ournewenglandlegends.com/podcast-44-help-this-ghost-or-else/
302,https://ournewenglandlegends.com/podcast-153-the-witches-of-westerly/
303,https://ournewenglandlegends.com/podcast-56-connecticuts-melon-heads/
304,https://ournewenglandlegends.com/podcast-8-a-vampire-in-vermont/
305,https://ournewenglandlegends.com/podcast-231-the-mysterious-travels-of-rollstone-boulder/
306,https://ournewenglandlegends.com/new-england-legends-named-to-podcast-magazines-the-best-horror-and-crime-podcasts-2020/
